LAST NAME,FIRST NAME,DOB,POB,SSN,SEX,STREET NUMBER,STREET NAME,VOTER REG DATE,PARTY 
BALL,Maria,03/10/1913,Montana,453-78-5010,FEMALE,161,BLUEBERRY,02/03/1935,REPUBLICAN
BARRO,Nate,07/24/1914,Alderwood,339-30-5748,MALE,2898,LAUREL,02/04/1935,REPUBLICAN
BARNES,Ophelia,10/29/1911,Utah,038-88-3887,FEMALE,870,SPHYNX,02/05/1935,REPUBLICAN
BARRETT,Philippe,03/13/1913,Alderwood,981-77-2037,MALE,2730,CORGI,02/06/1935,REPUBLICAN
BARRY,Rita,12/09/1915,California,133-75-0236,FEMALE,208,BIRCH,02/07/1935,INDEPENDENT
OLIVEIRA,Stan,02/12/1917,MARYLAND,598-80-0600,MALE,219,CORNISH,02/08/1935,DEMOCRAT
ORGILL,Tammy,03/16/1913,Alderwood,639-37-4127,FEMALE,575,HONEYSUCKLE,02/09/1935,DEMOCRAT
WHITING,Vince,03/17/1913,Alderwood,915-29-6995,MALE,1512,ASIAN,02/10/1935,DEMOCRAT
WHITMAN,Wilma,03/18/1913,Alderwood,437-05-9624,FEMALE,509,ASIAN,02/11/1935,DEMOCRAT
FARMER,Alberto,03/19/1913,Alderwood,882-08-8610,MALE,110,SALMON,02/12/1935,DEMOCRAT
BEAR,Beryl,03/20/1913,Wyoming,519-31-2353,FEMALE,105,FIRST ,02/13/1935,REPUBLICAN
BEAN,Chris,08/03/1914,Alderwood,901-08-2562,MALE,231,OLIVE,02/14/1935,REPUBLICAN
BECHTOL,Debby,11/08/1911,Utah,653-98-4022,FEMALE,265,BURMESE,02/15/1935,REPUBLICAN
BELL,Ernesto,03/23/1913,Alderwood,825-49-6255,MALE,2100,FOURTH,02/16/1935,REPUBLICAN
BENDER,Florence,08/06/1914,Alderwood,596-34-1721,FEMALE,469,FIRST ,02/17/1935,REPUBLICAN
BISSON,Gordon,12/20/1915,Alderwood,180-83-6118,MALE,434,BUTTONWOOD,02/18/1935,REPUBLICAN
BLACK,Helene,12/21/1915,Alderwood,200-96-6007,FEMALE,420,KINNIKINICK,02/19/1935,REPUBLICAN
BLUE,Isaac,01/02/1961,Alderwood,114-73-0118,MALE,1116,MARIGOLD,02/20/1935,INDEPENDENT
BLAKE,Joyce,01/09/1905,Alderwood,572-48-5168,FEMALE,343,BASSET,02/21/1935,DEMOCRAT
JOHNSON,Kirk,11/15/1911,MEXICO,703-45-0812,MALE,139,SPANIEL,02/22/1935,DEMOCRAT
WHITFORD,Leslie,02/28/1916,ARIZONA,435-07-8607,FEMALE,303,THIRTEENTH,02/23/1935,DEMOCRAT
BOWYER,Michael,08/13/1914,Wyoming,433-22-4353,MALE,800,FIFTEENTH,02/24/1935,DEMOCRAT
LARSON,Nadine,12/27/1915,Alderwood,563-25-4781,FEMALE,1636,SIAMESE,02/25/1935,DEMOCRAT
BORBELY,Oscar,12/28/1915,Alderwood,534-17-2364,MALE,1155,THIRD,02/26/1935,REPUBLICAN
HOLLOMON,Patty,12/29/1915,MEXICO,179-05-3614,FEMALE,935,JAVANESE,02/27/1935,REPUBLICAN
FONTANA-SMITH,Rafael,03/04/1916,Alderwood,809-17-0755,MALE,1292,ELEVENTH,02/28/1935,REPUBLICAN
PLACET,Sandy,04/05/1913,Montana,342-15-8432,FEMALE,218,TWENTIETH,03/01/1935,REPUBLICAN
SKELLY,Tony,04/08/1934,MEXICO,337-62-1219,MALE,704,TENTH,03/02/1935,REPUBLICAN
GRINSTEIN,Valerie,04/07/1913,ARIZONA,049-12-5477,FEMALE,1405,BARBERRY,03/03/1935,REPUBLICAN
JOHNSON,William,04/08/1913,Washington,122-74-5619,MALE,7,HOLLY,03/04/1935,REPUBLICAN
SKUMANICH,Andrea,01/04/1916,Montana,213-93-7894,FEMALE,16,BIRCH,03/05/1935,INDEPENDENT
HUND,Barry,01/05/1916,Alderwood,647-33-7104,MALE,1267,STRAWBERRY,03/06/1935,DEMOCRAT
DONALDSON,Chantal,11/28/1911,Montana,523-67-8301,FEMALE,43,FOURTEENTH,03/07/1935,DEMOCRAT
STONE,Dean,03/12/1917,ALASKA,333-95-2592,MALE,176,PANSY,03/08/1935,DEMOCRAT
BARTHA,Erin,04/13/1913,Alderwood,672-48-7134,FEMALE,41,ALDER,03/09/1935,DEMOCRAT
STOPPANI,Felix,03/14/1916,Montana,030-70-7386,MALE,86,PANSY,03/10/1935,DEMOCRAT
DIEFENDERFER,Gabrielle,08/28/1914,Alderwood,491-38-0832,FEMALE,1491,BARREL,03/11/1935,REPUBLICAN
HANSEN,Humberto,03/16/1916,Alderwood,578-74-0596,MALE,2268,TENTH,03/12/1935,REPUBLICAN
THOMAS,Ingrid,04/08/1934,Alderwood,231-30-1465,FEMALE,1260,PRICKLYPEAR,03/13/1935,REPUBLICAN
SCHULTZ,Jerry,01/13/1916,Alderwood,090-62-0194,MALE,2506,ROSEHIP,03/14/1935,REPUBLICAN
FELLER,Karen,03/19/1917,Oregon,619-24-0896,FEMALE,3700,CORGI,03/15/1935,REPUBLICAN
FULLMER,Lorenzo,04/20/1913,Montana,920-62-1249,MALE,150,AFGHAN,03/16/1935,REPUBLICAN
YE,Melissa,09/03/1914,Alderwood,267-34-1980,FEMALE,1001,NINETEENTH ,03/17/1935,REPUBLICAN
ROBERTS,Noel,04/22/1913,MEXICO,395-11-6705,FEMALE,183,MUNCHKIN,03/18/1935,INDEPENDENT
CHAVEZ-TAPIA,Olga,04/23/1913,NEW YORK,075-75-9859,FEMALE,184,SECOND,03/19/1935,DEMOCRAT
BEDOYA,Pablo,01/19/1916,California,563-05-5056,MALE,180,CLOUDBERRY,03/20/1935,DEMOCRAT
VINSKEY,Rebekah,03/25/1917,Alderwood,845-09-5144,FEMALE,441,MALTESE,03/21/1935,DEMOCRAT
COCA,Sebastien,09/08/1914,Alderwood,322-14-1084,MALE,142,JAVANESE,03/22/1935,DEMOCRAT
RODRIGUEZ,Tanya,01/22/1916,ARIZONA,364-20-3054,FEMALE,451,HAWTHORN,03/23/1935,DEMOCRAT
HONE,Van,09/10/1914,Mexico,186-78-5535,MALE,1200,AKITA,03/24/1935,REPUBLICAN
SVANCARA,Wendy,03/29/1916,ARIZONA,355-08-3031,FEMALE,473,SECOND,03/25/1935,REPUBLICAN
CONWAY,Arthur,09/12/1914,California,055-90-6618,MALE,19,ABYSSINIAN,03/26/1935,REPUBLICAN
HINTON,Bertha,05/01/1913,Utah,487-05-7663,FEMALE,65,SOMALI,03/27/1935,REPUBLICAN
THOMPSON,Cristobal,09/14/1914,ARIZONA,605-34-7345,MALE,79,FOXGLOVE,03/28/1935,REPUBLICAN
MCKINLEY,Dolly,01/28/1916,Utah,212-71-1720,FEMALE,225,BURMESE,03/29/1935,REPUBLICAN
SHIRLEY,Edouard,01/29/1916,Alderwood,804-61-6864,MALE,364,ELDERBERRY,03/30/1935,REPUBLICAN
JOHNS,Fay,04/04/1916,Alderwood,292-14-9570,FEMALE,1582,BITTEROOT,03/31/1935,INDEPENDENT
ZIMMERMAN,Gustav,09/18/1914,Alderwood,686-08-3659,MALE,2254,THISTLE,04/01/1935,DEMOCRAT
JONES,Hanna,12/24/1911,Alderwood,141-32-7444,FEMALE,490,ASTER,04/02/1935,DEMOCRAT
MARTIN,Ike,12/25/1911,Oregon,230-37-9460,MALE,2089,ELDERBERRY,04/03/1935,DEMOCRAT
ELSHAFEY,Josephine,12/26/1911,Montana,365-41-0293,FEMALE,115,PEONY,04/04/1935,DEMOCRAT
KHAN,Kyle,09/22/1914,ARIZONA,858-80-4022,MALE,895,CRANBERRY,04/05/1935,DEMOCRAT
ELIZONDO,Laura,05/11/1913,Alderwood,878-37-8958,FEMALE,805,LUPIN,04/06/1935,REPUBLICAN
DOHNALKOVA,Marco,04/08/1934,Utah,638-36-1972,MALE,149,BOXER,04/07/1935,REPUBLICAN
CUI,Nana,12/30/1911,Alderwood,958-54-5745,FEMALE,1022,BASSET,04/08/1935,REPUBLICAN
WITTEVEEN,Omar,04/08/1934,Alderwood,799-45-6054,MALE,2856,SNOWSHOE,04/09/1935,REPUBLICAN
DEC,Paloma,05/15/1913,Utah,536-31-4202,FEMALE,181,CRANBERRY,04/10/1935,REPUBLICAN
BYRNE,Rene,04/15/1917,Mexico,172-52-2811,FEMALE,945,THIRD,04/11/1935,REPUBLICAN
STRAUB,Sally,04/16/1916,Oregon,859-98-5587,FEMALE,196,PANSY,04/12/1935,REPUBLICAN
VELA,Teddy,05/18/1913,Washington,641-32-2210,FEMALE,742,EIGHTEENTH,04/13/1935,INDEPENDENT
MCDOWELL,Vicky,02/13/1916,Alderwood,607-12-9038,FEMALE,557,FIRST ,04/14/1935,DEMOCRAT
STRUB,Wilfred,04/19/1916,Alderwood,063-48-2953,MALE,450,MALTESE,04/15/1935,DEMOCRAT
WATROUS,Ana,10/03/1914,Alderwood,989-30-9509,FEMALE,1659,FIRST ,04/16/1935,DEMOCRAT
FANG,Bill,04/08/1934,Alderwood,367-84-8928,MALE,777,GINGER,04/17/1935,DEMOCRAT
FARIS,Claudette,04/22/1917,Montana,496-56-6938,FEMALE,53,MASTIFF,04/18/1935,DEMOCRAT
HAMMERSTROM,Danny,10/06/1914,Alderwood,057-09-6111,MALE,287,ROSE,04/19/1935,REPUBLICAN
CLEARY,Erika,05/25/1913,Alderwood,845-91-3426,FEMALE,236,TWELVTH,04/20/1935,REPUBLICAN
ANKRUM,Fred,02/20/1916,Alderwood,275-82-9671,MALE,580,SINGAPURA,04/21/1935,REPUBLICAN
PUGH,Grace,05/27/1913,Mexico,992-10-1148,FEMALE,390,AKITA,04/22/1935,REPUBLICAN
MOFFITT,Henri,05/28/1913,Alderwood,384-56-7914,MALE,1742,STURGEON,04/23/1935,REPUBLICAN
LIU,Ida,02/23/1916,NEW YORK,300-64-6845,FEMALE,602,GINGER,04/24/1935,REPUBLICAN
SARIPALLI,Joaquin,05/30/1913,Alderwood,620-37-3283,FEMALE,1319,CORNISH,04/25/1935,REPUBLICAN
NASH,Kate,09/04/1910,Alderwood,575-04-0788,FEMALE,812,FIRST ,04/26/1935,INDEPENDENT
MAYER,Larry,01/18/1912,NEBRASKA,408-46-3237,MALE,275,THISTLE,04/27/1935,DEMOCRAT
NETTER,Mindy,06/02/1913,Oregon,016-88-8978,FEMALE,3817,NINTH,04/28/1935,DEMOCRAT
PARDINI,Nicholas,06/03/1913,Alderwood,837-27-9001,MALE,2954,ABYSSINIAN,04/29/1935,DEMOCRAT
ARIMESCU,Odette,02/29/1916,Montana,195-01-4955,FEMALE,182,KOMONDOR,04/30/1935,DEMOCRAT
EVANS-PATTON,Peter,06/05/1913,Alderwood,098-30-8244,MALE,1155,CLOUDBERRY,05/01/1935,DEMOCRAT
MORRA,Rose,04/08/1934,Utah,018-83-9734,FEMALE,1015,ESKIMO,05/02/1935,REPUBLICAN
KATIPAMULA,Sam,10/20/1914,Idaho,647-52-1936,MALE,199,BASENJI,05/03/1935,REPUBLICAN
CHAMBERLIN,Teresa,03/04/1916,Alderwood,277-90-7862,FEMALE,1582,OLIVE,05/04/1935,REPUBLICAN
SCHMIDT,Victor,10/22/1914,NEW YORK,887-16-0658,MALE,234,HIMALAYA,05/05/1935,REPUBLICAN
GODOY-KAIN,Wanda,03/06/1916,Alderwood,247-23-2398,FEMALE,3395,JAVANESE,05/06/1935,REPUBLICAN
ELLIOTT,THOMAS,10/24/1914,Utah,493-49-2061,MALE,1140,SELKIRK,05/07/1935,REPUBLICAN
TABUYO-GALLEGOS,MARY,04/08/1934,Alderwood,763-85-9286,FEMALE,668,CORNISH,05/08/1935,REPUBLICAN
BROCK,JAMES,06/13/1913,MEXICO,175-01-7474,MALE,555,CHOLLA,05/09/1935,INDEPENDENT
LATORRE,PATRICIA,06/14/1913,Alderwood,689-57-6660,FEMALE,1211,LAUREL,05/10/1935,DEMOCRAT
ZULJEVIC,JOHN,11/30/1976,Alderwood,381-23-5663,MALE,827,MAIN,05/11/1935,DEMOCRAT
TSILIGARIDIS,LINDA,03/12/1916,Alderwood,313-63-2996,FEMALE,2688,TWELVTH,05/12/1935,DEMOCRAT
NIEPLOCHA,ROBERT,10/30/1914,California,673-55-2411,MALE,203,BALINESE,05/13/1935,DEMOCRAT
GOWRI,BARBARA,06/18/1913,Idaho,116-46-8981,FEMALE,18,RAGDOLL,05/14/1935,DEMOCRAT
STEELE,MICHAEL,11/01/1914,Alderwood,298-51-5537,MALE,959,BEAGLE,05/15/1935,REPUBLICAN
MCCUE,ELIZABETH,02/06/1912,California,238-10-7572,FEMALE,80,CORALBERRY,05/16/1935,REPUBLICAN
KNOBBS,WILLIAM,06/21/1913,Alderwood,928-01-2951,MALE,1254,MALAMUTE,05/17/1935,REPUBLICAN
GALLEGOS,JENNIFER,03/18/1916,Alderwood,154-50-8032,FEMALE,967,CORGI,05/18/1935,REPUBLICAN
PERRY,DAVID,05/23/1917,ARIZONA,441-81-0666,MALE,48,SUNSET,05/19/1935,REPUBLICAN
SANDE,MARIA,06/24/1913,Alderwood,373-05-4698,FEMALE,1511,BUFFALOBERRY,05/20/1935,REPUBLICAN
POPE,RICHARD,06/25/1913,Alderwood,465-51-8566,MALE,3038,SEVENTEENTH,05/21/1935,REPUBLICAN
DU,SUSAN,06/26/1913,Oregon,422-54-8840,FEMALE,3682,ROSEHIP,05/22/1935,INDEPENDENT
DEMYER,CHARLES,06/27/1913,Alderwood,980-78-7185,MALE,1841,LOCUST,05/23/1935,DEMOCRAT
LEI,MARGARET,06/28/1913,Oregon,437-21-0510,FEMALE,2245,PRICKLYPEAR,05/24/1935,DEMOCRAT
SALISBURY-MILLER,JOSEPH,11/11/1914,Montana,139-41-4355,MALE,126,TWINBERRY,05/25/1935,DEMOCRAT
PENNER,DOROTHY,02/16/1912,INDIANA,632-60-3388,FEMALE,119,AIREDALE,05/26/1935,DEMOCRAT
ZHANG,JOSEPH,07/01/1913,ARIZONA,870-20-1448,MALE,243,SEVENTEENTH,05/27/1935,DEMOCRAT
VUTA,BETH,11/14/1914,RHODE ISLAND,440-79-5991,FEMALE,20,SWEET PEA,05/28/1935,REPUBLICAN
VILLA,BRAD,03/29/1916,ARIZONA,306-73-6000,MALE,187,SNOWBERRY,05/29/1935,REPUBLICAN
BUTNER,CARRIE,03/30/1916,Alderwood,559-84-2722,FEMALE,942,COON,05/30/1935,REPUBLICAN
HEREDIA-LANGNER,DONALD,04/08/1934,Alderwood,749-41-5273,MALE,1317,SAVANNAH,05/31/1935,REPUBLICAN
WRIGHT,CAROLINE,04/19/1905,Alderwood,727-22-8278,FEMALE,42,PINE,06/01/1935,REPUBLICAN
OOSTROM,DENNIS,02/23/1912,FLORIDA,017-24-2809,MALE,302,HONEYSUCKLE,06/02/1935,REPUBLICAN
REX,KATY,06/07/1916,Alderwood,548-70-0133,FEMALE,2464,STURGEON,06/03/1935,REPUBLICAN
JOHNSON,WAYNE,11/21/1914,ARIZONA,735-23-8262,MALE,707,LOCUST,06/04/1935,INDEPENDENT
COLEMAN,CYNTHIA,04/05/1916,Oregon,207-26-7670,FEMALE,295,CORGI,06/05/1935,DEMOCRAT
ONISHI,NEAL,04/06/1916,Alderwood,102-63-1416,MALE,2450,CHIHUAHUA,06/06/1935,DEMOCRAT
GIBSON,NATALIE,04/07/1916,Oregon,844-15-2739,FEMALE,859,SEVENTH,06/07/1935,DEMOCRAT
WHELAN,MIKE,06/12/1916,OKLAHOMA,283-68-1988,MALE,1610,FIFTEENTH,06/08/1935,DEMOCRAT
DENG,KIMBERLY,07/14/1913,ARIZONA,783-71-2358,FEMALE,273,KOMONDOR,06/09/1935,DEMOCRAT
FU,SCOTT,04/08/1934,MEXICO,478-83-0625,MALE,677,WASHINGTON,06/10/1935,REPUBLICAN
DIBRANI,BECKY,07/16/1913,CONNECTICUT,993-06-1493,FEMALE,53,BITTEROOT,06/11/1935,REPUBLICAN
NIGL,THOMAS,07/17/1913,Alderwood,267-68-9671,MALE,3304,ASTER,06/12/1935,REPUBLICAN
NICKLESS,REBECAH,04/13/1916,Washington,848-87-7201,FEMALE,205,BASSET,06/13/1935,REPUBLICAN
VEDULA,STEVEN,04/14/1916,INDIANA,059-49-5684,MALE,226,LAUREL,06/14/1935,REPUBLICAN
KLUSE,KELLY,03/07/1912,ARIZONA,995-26-3862,FEMALE,259,EIGHTH,06/15/1935,REPUBLICAN
TIPPARAJU,RICHARD,06/20/1917,Alderwood,099-38-9777,MALE,1295,BEAGLE,06/16/1935,REPUBLICAN
KALMAN,ANGELA,07/22/1913,Alderwood,675-72-0119,FEMALE,1829,BOXWOOD,06/17/1935,INDEPENDENT
LOUIE,WILLIAM,06/22/1916,Alderwood,778-89-6358,MALE,849,KINNIKINICK,06/18/1935,DEMOCRAT
KERY,MICHELLE,12/06/1914,ARIZONA,915-04-7802,FEMALE,315,TWINBERRY,06/19/1935,DEMOCRAT
RESAT,ROBERT,06/24/1916,Oregon,391-06-4556,MALE,2125,STRAWBERRY,06/20/1935,DEMOCRAT
AHMED,AMY,04/08/1934,NEW HAMPSHIRE,185-94-6821,FEMALE,49,JAVANESE,06/21/1935,DEMOCRAT
GOPALAN,KENNETH,04/22/1916,Alderwood,563-06-6031,MALE,784,PERSIMMON,06/22/1935,DEMOCRAT
QIAN,MELISSA,06/27/1917,California,144-65-7958,FEMALE,159,SASKATOON,06/23/1935,REPUBLICAN
BROTHERTON,JEFFERY,07/29/1913,KANSAS,771-04-8397,MALE,209,CHOLLA,06/24/1935,REPUBLICAN
DONNELLY,HEATHER,12/12/1914,Alderwood,686-59-2276,FEMALE,991,CHOLLA,06/25/1935,REPUBLICAN
MALARD,CHRISTOPHER,07/31/1913,ARIZONA,895-69-4224,MALE,288,ESKIMO,06/26/1935,REPUBLICAN
LU,STEPHANIE,08/01/1913,ARIZONA,440-67-8088,FEMALE,211,SPANIEL,06/27/1935,REPUBLICAN
MACHSHANOVA,JOHN,04/28/1916,Montana,892-72-2684,MALE,118,TERRIER,06/28/1935,REPUBLICAN
FJELD,LAUREN,07/03/1917,Oregon,471-63-1546,MALE,3478,COONHOUND,06/29/1935,REPUBLICAN
BENSON,BRIAN,12/17/1914,Alderwood,151-01-4656,MALE,1780,HIMALAYA,06/30/1935,INDEPENDENT
WALKER,NICOLE,05/01/1916,Utah,715-03-6998,FEMALE,183,BOMBAY,07/01/1935,DEMOCRAT
VIVEROS,JASON,12/19/1914,Oregon,524-32-7790,MALE,2578,MUNCHKIN,07/02/1935,DEMOCRAT
ANDERSON,AMANDA,07/07/1916,Alderwood,103-80-6775,FEMALE,3388,SELKIRK,07/03/1935,DEMOCRAT
FELDHAUS,SCOTT,12/21/1914,Alderwood,003-06-7365,MALE,3164,COON,07/04/1935,DEMOCRAT
MAYER-CUMBLIDGE,BRITTANY,08/09/1913,California,183-24-0133,FEMALE,44,EIGHTEENTH,07/05/1935,DEMOCRAT
HUANG,MATTHEW,12/23/1914,MASSACHUSETTS,434-53-0668,MALE,337,EIGHTH,07/06/1935,REPUBLICAN
LIN,RACHEL,05/07/1916,Alderwood,655-21-5766,FEMALE,1351,CHOLLA,07/07/1935,REPUBLICAN
AHRAM,DANIEL,05/08/1916,Alderwood,874-94-9212,MALE,219,LOCUST,07/08/1935,REPUBLICAN
POSPICAL,MEGAN,07/13/1916,Alderwood,497-86-3723,FEMALE,882,CORNFLOWER,07/09/1935,REPUBLICAN
LEHRMAN-MYERS,JOSHUA,12/27/1914,Alderwood,289-37-7302,MALE,786,FOXGLOVE,07/10/1935,REPUBLICAN
RUNYON,EMILY,04/02/1912,Alderwood,315-41-1473,FEMALE,288,BENGAL,07/11/1935,REPUBLICAN
DRIVER,JUSTIN,04/03/1912,Alderwood,952-97-9711,MALE,2660,CORNFLOWER,07/12/1935,REPUBLICAN
CARRIERA,SARAH,04/04/1912,Idaho,812-10-1575,FEMALE,214,TURKISH,07/13/1935,INDEPENDENT
LEIFHEIT,NEWTON,12/31/1914,ARIZONA,237-95-5043,MALE,363,BOMBAY,07/14/1935,DEMOCRAT
CADD,TAYLOR,08/19/1913,Alderwood,529-36-1282,FEMALE,1134,SINGAPURA,07/15/1935,DEMOCRAT
NOLAN,RYAN,04/08/1934,Alderwood,960-38-7966,MALE,773,COLLIE,07/16/1935,DEMOCRAT
DUCLOS,JESSICA,04/08/1912,Alderwood,944-34-7924,FEMALE,2415,RASPBERRY,07/17/1935,DEMOCRAT
DORAN,ANDREW,04/08/1934,Alderwood,638-87-4946,MALE,1785,CHOLLA,07/18/1935,DEMOCRAT
SAMS,ASHLEY,08/23/1913,Alderwood,577-41-1424,FEMALE,481,AFGHAN,07/19/1935,REPUBLICAN
HUI,NICHOLAS,07/24/1917,Oregon,087-61-0984,MALE,2776,BEAGLE,07/20/1935,REPUBLICAN
HARBISON,SAMANTHA,07/25/1916,Alderwood,861-76-6343,FEMALE,1520,SIAMESE,07/21/1935,REPUBLICAN
HERNANDEZ,TYLER,08/26/1913,Utah,827-11-7279,MALE,1170,ANGORA,07/22/1935,REPUBLICAN
RUIZ,MADISON,05/23/1916,Alderwood,684-50-3858,FEMALE,1022,CROWBERRY,07/23/1935,REPUBLICAN
PANTHER,JACOB,07/28/1916,Utah,094-60-3490,MALE,450,THIRTEENTH,07/24/1935,REPUBLICAN
KIM,HANNAH,01/11/1915,NORTH DAKOTA,221-71-7887,FEMALE,62,BOBTAIL,07/25/1935,REPUBLICAN
GOUTHIA,ZACHARY,04/08/1934,ILLINOIS,032-24-9296,MALE,745,ASTER,07/26/1935,INDEPENDENT
ABREFAH,KAYLA,07/31/1917,ARIZONA,615-37-5692,FEMALE,269,PIXIE,07/27/1935,DEMOCRAT
MCLAUGHLIN,BRANDON,01/14/1915,ARIZONA,791-42-1114,MALE,522,PETERBALD,07/28/1935,DEMOCRAT
CRISCUOLO,ALEXIS,09/02/1913,Alderwood,683-81-2665,FEMALE,79,PAPILION,07/29/1935,DEMOCRAT
BOLLINGER,AUSTIN,05/30/1916,Idaho,178-49-7975,MALE,16,SAGE,07/30/1935,DEMOCRAT
MILLER,LISA,09/04/1913,OKLAHOMA,674-53-8263,FEMALE,413,MUM,07/31/1935,DEMOCRAT
BARNETT,ETHAN,09/05/1913,Utah,549-84-5912,MALE,385,SUMAC,08/01/1935,REPUBLICAN
WILLIAMS,CHRISTINE,06/02/1916,Alderwood,689-03-3110,FEMALE,458,FOXGLOVE,08/02/1935,REPUBLICAN
GOFORTH,ANTHONY,09/07/1913,Alderwood,212-37-5381,MALE,731,EIGHTH,08/03/1935,REPUBLICAN
XIA,CHRISTINA,12/13/1910,Oregon,668-26-5766,FEMALE,588,FIFTH,08/04/1935,REPUBLICAN
RAI,ALEXANDER,04/27/1912,Alderwood,441-94-7071,MALE,3472,LAUREL,08/05/1935,REPUBLICAN
PANJABI,TRACY,09/10/1913,California,849-08-1692,FEMALE,241,MASTIFF,08/06/1935,REPUBLICAN
ALVAREZ,JONATHON,09/11/1913,MEXICO,294-87-8448,MALE,362,ASIAN,08/07/1935,REPUBLICAN
RUZAUSKAS,KAREN,06/08/1916,Alderwood,691-87-0917,FEMALE,1537,PERSIMMON,08/08/1935,INDEPENDENT
PRAZNIK,DYLAN,09/13/1913,Alderwood,791-21-5929,MALE,2086,PRICKLYPEAR,08/09/1935,DEMOCRAT
FELMY,SUSAN,04/08/1934,Alderwood,695-78-3666,FEMALE,1519,TURKISH,08/10/1935,DEMOCRAT
COLBY,SAMUEL,01/28/1915,Alderwood,652-83-3416,MALE,1028,BALINESE,08/11/1935,DEMOCRAT
MCNICKLE,TAMMY,06/12/1916,Alderwood,430-68-6910,FEMALE,1282,FOURTEENTH,08/12/1935,DEMOCRAT
